행정구역,인구수,신고수,지역경찰서,지구대,파출소
강서구,"144,047",28066,9,0,9
금정구,"224,173",48267,5,4,1
기장군,"177,536",31093,5,2,3
남구,"259,735",86967,9,5,4
동구,"88,087",33113,5,2,3
동래구,"274,491",54971,6,4,2
부산진구,"350,999",110680,10,7,3
북구,"280,511",55022,5,4,1
사상구,"205,765",60048,6,3,3
사하구,"305,008",64126,6,4,2
서구,"104,340",25950,4,3,1
수영구,"174,739",0,0,0,0
연제구,"206,145",55612,6,3,3
영도구,"109,395",26773,4,2,2
중구,"40,455",23690,5,1,4
해운대구,"391,311",79912,9,5,4
